No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
158,전체,교선,HBLB5065,게이미피케이션이해와적용,3,3.0,0.0,,"일반(체육과무용) 화1,2,3(K201) 화1,2,3(I203)",1,이희화,nan
159,전체,교선,HBLB5066,파이썬빅데이터시각화,3,3.0,0.0,,"일반(정보기술과산 업) 목9,10,11(Z101)",1,"이우진,전준헌",E-러닝 교과목/3~4학년만 수강 가능
160,전체,교선,HBLB5092,미래유망직업탐색,1,1.0,0.0,,일반(커리어디자인),금8(Z101),1,김병재 E-러닝 교과목/3~4학년만 수강 가능
161,전체,교선,HBLB5093,문화콘텐츠기반지속가능한미래 와솔루션디자인,3,3.0,0.0,균형(사회),"월3,4,5(I211)",1,전정옥,nan
162,전체,교선,HBLC0042,세계정원과문화의이해,3,3.0,0.0,,"일반(과학과환경) 월5,6,7(I308)",1,정용조,nan
163,전체,교선,HBLC0052,21세기도시환경과과학적시사,3,3.0,0.0,,"일반(과학과환경) 화5,6,7(I311)",1,정용조,nan
164,전체,교선,HBLC1003,컴퓨터와정보사회,3,3.0,0.0,균형(공학),"수1,2,3(I212)",1,박진성,nan
165,전체,교선,HBLC5004,웰빙과식품,3,3.0,0.0,,"일반(생활과건강) 수1,2,3(I305)",1,이승호,nan
166,전체,교선,HBLC5044,유비쿼터스컴퓨팅과미래사회,3,3.0,0.0,균형(공학),"화1,2,3(I310)",1,서창진,nan
167,전체,교선,HBLC5049,영화속의과학,3,3.0,0.0,균형(공학),"목2,3,4(I212)",1,이진영,nan
168,전체,교선,HBLC5057,의사소통능력(NCS),1,1.0,0.0,,일반(커리어디자인),목5(I210),1,양영하
169,전체,교선,HBLC5060,생활속로봇디자인,3,1.0,2.0,,"일반(정보기술과산 업) 금4,5,6(I105)",1,염기원,nan
170,전체,교선,HBLC5061,코딩기초,2,1.0,1.0,균형(공학),"수5,6(N203)",1,백수황,nan
171,전체,교선,HBLC5062,디지털인문학,3,3.0,0.0,,"일반(정보기술과산 업) 수5,6,7(I105)",1,강태구,nan
172,전체,교선,HBLD0112,패션과이미지메이킹,3,2.0,1.0,,일반(예술과디자인),"목1,2,3(I308)",1,박선지
173,전체,교선,HBLD1020,사진과사회학,3,3.0,0.0,균형(예술),"수1,2,3(I311)",1,김연제,nan
174,전체,교선,HBLD1023,생활스쿼시,2,0.0,2.0,,"일반(체육과무용) 월5,6(K112)",1,황종문,nan
175,전체,교선,HBLD5004,운동과건강,3,3.0,0.0,,"일반(생활과건강) 월1,2,3(I310)",1,이형국,nan
176,전체,교선,HBLD5004,운동과건강,3,3.0,0.0,,"일반(생활과건강) 목1,2,3(I310)",2,이형국,nan
177,전체,교선,HBLD5023,애니메이션의감상과이해,3,3.0,0.0,균형(예술),"수1,2,3(I307)",1,김우중,nan
178,전체,교선,HBLD5024,연극감상과비평,3,3.0,0.0,,일반(예술과디자인),"목4,5,6(I110)",1,임형진
179,전체,교선,HBLD5025,직물과현대생활,3,3.0,0.0,,일반(예술과디자인),"월7,8,9(I306)",1,미정
180,전체,교선,HBLD5029,웨이트트레이닝,2,0.0,2.0,,"일반(체육과무용) 화5,6(K212)",1,강명수,nan
181,전체,교선,HBLD5035,리빙디자인의현재와미래,3,3.0,0.0,,일반(예술과디자인),"목6,7,8(I407)",1,최원정
182,전체,교선,HBLD5040,예술세계의탐구,3,3.0,0.0,균형(예술),"수4,5,6(I311)",1,김현수,nan
183,전체,교선,HBLD5041,음악의세계,3,3.0,0.0,균형(예술),"목4,5,6(I310)",1,이영신,nan
184,전체,교선,HBLD5045,요가,2,0.0,2.0,,"일반(체육과무용) 화3,4(K301)",1,김동아,nan
185,전체,교선,HBLD5046,스포츠빅이벤트의이해,2,2.0,0.0,,"일반(체육과무용) 수5,6(I310)",1,정동화,nan
186,전체,교선,HBLD5047,배드민턴,2,0.0,2.0,,"일반(체육과무용) 월3,4(S326)",1,이동현,nan
187,전체,교선,HBLD5054,스포츠와경제,3,3.0,0.0,,"일반(체육과무용) 화5,6,7(I304)",1,한상호,nan
188,전체,교선,HBLD5055,지역문화예술콘텐츠개발,3,3.0,0.0,균형(예술),"목1,2,3(I203)",1,허영,nan
189,전체,교선,HBLD5056,소셜디자인랩,3,3.0,0.0,균형(예술),"수5,6,7(I107)",1,김희균,nan
190,전체,교선,HBLD5057,구기스포츠,2,0.0,2.0,,"일반(체육과무용) 수5,6(S326)",1,한상호,nan
191,전체,교선,HBLD5060,뉴스와리터러시,3,3.0,0.0,균형(브리지),"화7,8,9(I407)",1,서은아,nan
192,전체,교선,HBLD5062,다문화사회와지속가능한도시공 동체,3,3.0,0.0,균형(브리지),"목9,10,11(Z102)",1,조순정,E-러닝 교과목/3~4학년만 수강 가능
193,전체,교선,HBLD5063,SF콘텐츠와사회문화의관계,3,3.0,0.0,균형(브리지),"월5,6,7(I307)",1,김치훈,nan
