No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
1,3,1전선,HBCD0001,취업과창업(글로벌인문학부대학 ),1,1.0,0.0,,토11(Y102),1,유진현,nan
1,1,1전선,HBHI0004,글로벌시대의인문학,2,2.0,0.0,,"목2,3(E106)",1,"박주은,양동국","글로벌지역학부 1,6 분반만 신청, 이중설강제 선정교과목"
2,1,1전선,HBHI0004,글로벌시대의인문학,2,2.0,0.0,,"목2,3(E503)",2,"윤태희,정의진","글로벌지역학부 2,3 분반만 신청, 이중설강제 선정교과목"
3,1,1전선,HBHI0004,글로벌시대의인문학,2,2.0,0.0,,"목2,3(E402)",3,"박정희,최종술","글로벌지역학부 4,5 분반만 신청, 이중설강제 선정교과목"
1,1,1전선,HBHA1011,한국어학의이해,3,3.0,0.0,,"수1,2,3(E502)",1,전정미,nan
2,1,1전선,HBHA2192,한국현대시의이해,3,3.0,0.0,,"수5,6,7(E502)",1,김지윤,nan
3,2,1전선,HBHA3011,한국현대소설의이해,3,3.0,0.0,,"월5,6,7(E502)",1,김한식,nan
4,2,1전선,HBHA3241,한국고전서사와문화콘텐츠,3,3.0,0.0,,"수6,7,8(I110)",1,이희영,nan
5,2,1전선,HBHA4389,한국어어휘교육론,3,3.0,0.0,,"수1,2,3(I109)",1,"양영하,한정희",nan
6,2,1전심,HBHA4394,AI 시대의 시 감상과 뉴미디어 표현,3,1.0,2.0,,"목3,4,5(C301)",1,김지윤,nan
7,3,1전선,HBHA2141,한국어발음교육론,3,3.0,0.0,,"화5,6,7(E502)",1,한정희,nan
8,3,1전선,HBHA3272,한국문학과세계문학,3,3.0,0.0,,"목1,2,3(I110)",1,김한식,nan
9,3,1전심,HBHA2161,한국어한자교육론,3,3.0,0.0,,"목1,2,3(E502)",1,이희영,nan
10,3,1전심,HBHA3231,한국어이해교육론,3,3.0,0.0,,"화1,2,3(E502)",1,전정미,nan
11,3,1전심,HBHA4375,응용언어학,3,3.0,0.0,,"금3,4,5(E502)",1,송인성,nan
12,4,1전선,HBHA4382,문예창작실습,2,0.0,2.0,,"수3,4(E106)",1,김지윤,nan
13,4,1전선,HBHA4391,한국어의미론,3,3.0,0.0,,"월2,3,4(E502)",1,전정미,nan
14,4,1전심,HBHA4383,한국문화교육론,3,3.0,0.0,,"월5,6,7(I106)",1,이희영,nan
15,전체,교선,HBLA5004,AI시대의호모로퀜스(말하는인간 ),3,3.0,0.0,균형(인문),"월9,10,11(Z201)",1,전정미,E-러닝 교과목/3-4학년만 수강가능
1,1,1전선,HBHD4561,스타트일본어2,3,3.0,0.0,,"목1,2,3(E206)",1,이이호시카즈야,nan
2,1,1전선,HBHD4563,전공체험(일본어권지역학전공),2,2.0,0.0,,"월7,8,9(E206)",1,김유천,주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차 3시간씩 수업)
3,2,1전선,HBHD1011,실력일본어2,3,3.0,0.0,,"월1,2,3(E206)",1,이이호시카즈야,nan
4,2,1전선,HBHD2121,일본어회화2,3,0.0,3.0,,화D(E206) 수D(E201),1,이이호시카즈야,nan
5,2,1전선,HBHD3182,한일관계사,3,3.0,0.0,,목F(E206) 금C(E206),1,양동국,nan
6,2,1전선,HBHD4403,일본의언어생활과표현,3,3.0,0.0,,화B(E206) 수C(E206),1,김유천,nan
7,2,1전선,HBHD4554,일본대중문화,3,3.0,0.0,,"수5,6,7(E206)",1,김유천,nan
8,3,1전선,HBHD4558,실전JLPT,3,3.0,0.0,,"화6,7,8(E206)",1,김지연,nan
9,3,1전심,HBHD4401,영화로일본읽기,3,3.0,0.0,,"목4,5,6(E503)",1,양동국,nan
10,3,1전심,HBHD4402,일본전통문화예술(PBL),3,3.0,0.0,,"월4,5,6(E206)",1,김유천,nan
11,3,1전심,HBHD4416,비즈니스일본어,3,0.0,3.0,,"화6,7,8(E201)",1,박정원,nan
12,3,1전심,HBHD4556,국제사회와일본정치,3,3.0,0.0,,"화1,2,3(E205)",1,양동국,nan
13,4,1전심,HBHD4559,통번역일본어(캡스톤디자인),3,1.0,2.0,,"목4,5,6(E206)",1,김유천,nan
14,4,1전심,HBHD4560,일본경영인탐구,3,3.0,0.0,,"화4,5,6(E205)",1,양동국,nan
1,1,1전선,HBHF4369,기초중국어2,3,0.0,3.0,,"화2,3,4(E204)",1,최향란,nan
2,2,1전선,HBHF1032,초급중국어2,3,0.0,3.0,,"화2,3,4(E501)",1,윤태희,nan
3,2,1전선,HBHF1112,중국어회화2,3,0.0,3.0,,"수2,3,4(I204)",1,최향란,nan
4,2,1전선,HBHF4367,현대중국사회의이해,3,3.0,0.0,,"목6,7,8(E501)",1,윤태희,nan
5,3,1전선,HBHF3041,중국엔터테크산업의이해,3,3.0,0.0,,"화2,3,4(E106)",1,최명숙,nan
6,3,1전선,HBHF4353,중국기업의발전과쟁점들,3,3.0,0.0,,"월6,7,8(E501)",1,윤태희,nan
7,3,1전심,HBHF3231,HSK중급,3,0.0,3.0,,"수6,7,8(I204)",1,최향란,nan
8,3,1전심,HBHF3241,중국어말하기연습,3,0.0,3.0,,"수2,3,4(E501)",1,최명숙,nan
9,4,1전심,HBHF4355,이슈로보는중국경제,3,0.0,3.0,,"수6,7,8(E501)",1,최명숙,nan
10,4,1전심,HBHF4364,AI를활용한중국어글쓰기,3,0.0,3.0,,"월6,7,8(E204)",1,김선화,nan
1,1,1전선,HBHB4409,영문법,3,3.0,0.0,,"월5,6,7(E106)",1,강은경,nan
2,1,1전선,HBHB4533,세계영어의이해,3,2.0,1.0,,"화5,6,7(E303)",1,박명수,nan
3,1,1전선,HBHB4545,전공체험(영어권지역학전공),2,2.0,0.0,,"월2,3,4(E302)",1,조순정,주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차 3시간씩 수업)
4,2,1전선,HBHB4421,메타버스 속 AI 스피킹,3,1.0,2.0,,"월5,6,7(E304)",1,하명정,nan
5,2,1전선,HBHB4518,빅데이터와영어,3,2.0,1.0,,"목3,4(E304) 목0(Z101)",1,박명수,nan
6,2,1전선,HBHB4531,영어권감성경제의이해,3,3.0,0.0,,"수5,6,7(I206)",1,이성범,nan
7,2,1전선,HBHB4532,현대영어권사회와문화(PBL),3,3.0,0.0,,"금9,10,11(E503)",1,하명정,nan
8,2,1전선,HBHB4538,컨벤션영어,3,1.0,2.0,,"화5,6,7(E503)",1,하명정,nan
9,2,1전선,HBHB4543,AI와의대화:프롬프트영어(PBL),2,1.0,1.0,,"화3,4(E303)",1,조순정,nan
10,2,1전선,HBHB4544,중급영어읽기,3,2.0,1.0,,"화5,6,7(E501)",1,김보경,nan
11,3,1전선,HBHB4523,애니메이션더빙번역,3,2.0,1.0,,"화5,6,7(E106)",1,박주은,nan
12,3,1전선,HBHB4534,비즈니스영어독해,3,2.0,1.0,,"목7,8,9(I207)",1,이성범,nan
13,3,1전선,HBHB4539,AI활용영어토론연습,3,0.0,3.0,,"수5,6,7(E302)",1,강은경,nan
14,3,1전심,HBHB4512,비즈니스스피킹,3,0.0,3.0,,"목3,4,5(E302)",1,강은경,nan
15,3,1전심,HBHB4528,SF영화와영미과학기술문명,3,3.0,0.0,,"월6,7,8(I205)",1,이성범,nan
16,3,1전심,HBHB4530,CNN을통한국제시사,3,2.0,1.0,,"수5,6,7(E106)",1,김보경,nan
17,3,1전심,HBHB4541,글로벌 문화마케팅과 MICE 산업,3,2.0,1.0,,"수2,3,4(E503)",1,조순정,nan
18,3,1전심,HBHB4548,영화와 AI로 배우는 영미드라마,3,3.0,0.0,,"목5,6,7(E106)",1,박주은,nan
1,1,1전선,HBHC4485,전공체험(프랑스어권지역학전공 ),2,2.0,0.0,,"목6,7,8(E401)",1,"드니제레미,정",의진 주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차 3시간씩 수업)
2,1,1전선,HBHC4486,초급프랑스어,3,3.0,0.0,,월B(E401) 수B(E205),1,"김정란,드니제",레미
3,2,1전선,HBHC1022,프랑스어2,3,3.0,0.0,,"수4,5,6(E401)",1,김정란,nan
4,2,1전선,HBHC1042,프랑스어회화2,2,0.0,2.0,,"목1,2(E401)",1,드니제레미,nan
5,2,1전선,HBHC2131,프랑스어쓰기연습,3,3.0,0.0,,월E(E401) 목C(E401),1,유진현,nan
6,2,1전선,HBHC3181,DELF프랑스어1,2,0.0,2.0,,"월4,5(E301)",1,드니제레미,nan
7,2,1전선,HBHC4478,프랑스어권영화와예술,3,3.0,0.0,,"화1,2,3(E401)",1,정의진,이중설강제 선정교과목
8,3,1전선,HBHC3032,프랑스AI콘텐츠,3,0.0,3.0,,수C(E303) 목D(E303),1,드니제레미,nan
9,3,1전심,HBHC3011,AI활용실전DELF1,2,0.0,2.0,,"화2,3(E301)",1,드니제레미,nan
10,3,1전심,HBHC4395,프랑스어4,3,3.0,0.0,,수B(E401) 목B(E501),1,유진현,nan
11,4,1전심,HBHC4474,프랑스어권과국제사회의교류협 력,3,3.0,0.0,,"수1,2,3(E302)",1,정의진,nan
1,1,1전선,HBHE4425,전공체험(독일어권지역학전공),2,2.0,0.0,,"수6,7,8(E205)",1,박정희,주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차 3시간씩 수업)
2,1,1전선,HBHE4426,기초독일어2,3,3.0,0.0,,"수1,2,3(E201)",1,박정희,nan
3,2,1전선,HBHE1012,독일어회화2,3,3.0,0.0,,"목6,7,8(E502)",1,미정,nan
4,2,1전선,HBHE4348,독일어연습2,3,3.0,0.0,,화C(E503) 목D(E502),1,박정희,nan
5,2,1전선,HBHE4420,독일의공연예술,3,3.0,0.0,,"목6,7,8(E402)",1,김연정,nan
6,2,1전선,HBHE4421,영화로보는독일사회(PBL),3,3.0,0.0,,"수6,7,8(E201)",1,김진숙,nan
7,3,1전선,HBHE2022,독일어회화4,3,3.0,0.0,,"화1,2,3(E402)",1,미정,nan
8,3,1전선,HBHE4368,독일어권기업문화론(캡스톤디자 인),3,3.0,0.0,,"목6,7,8(E201)",1,박정희,nan
9,3,1전심,HBHE4370,ZD독일어,3,3.0,0.0,,"화6,7,8(E402)",1,미정,nan
10,3,1전심,HBHE4418,독일문학과AI기반문화콘텐츠창 작(캡스톤디자인),3,1.0,2.0,,"월1,2,3(E303)",1,김진숙,nan
11,3,1전심,HBHE4419,독일어쓰기,2,2.0,0.0,,"월5,6(E503)",1,김진숙,nan
12,4,1전심,HBHE4369,AI시대의한독문화비교(캡스톤디 자인),3,1.0,2.0,,"목1,2,3(E201)",1,미정,nan
1,1,1전선,HBHG4412,초급러시아어1,3,3.0,0.0,,"화1,2,3(E403)",1,이희원,nan
2,1,1전선,HBHG4436,전공체험(러시아·중앙아시아지 역학전공),2,2.0,0.0,,"화8,9,10(E403)",1,최종술,주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차)
3,2,1전선,HBHG1022,중급러시아어1,3,3.0,0.0,,"화1,2,3(E201)",1,최종술,nan
4,2,1전선,HBHG1042,러시아어회화2,2,0.0,2.0,,"수2,3(E204)",1,따띠아나,nan
5,2,1전선,HBHG4403,러시아의역사,3,3.0,0.0,,"목5,6,7(E403)",1,김혜진,nan
6,2,1전선,HBHG4423,러시아예술의매혹,2,1.0,1.0,,"수2,3(E403)",1,이희원,nan
7,3,1전선,HBHG4419,러시아·중앙아시아시장과기업문 화(PBL),3,1.5,1.5,,"목6,7,8(E204)",1,한만춘,nan
8,3,1전선,HBHG4428,미디어로보는러시아인문지리,3,1.5,1.5,,"화4,5,6(E403)",1,이희원,nan
9,3,1전심,HBHG4401,러시아어회화4,2,0.0,2.0,,"수4,5(E403)",1,따띠아나,nan
10,3,1전심,HBHG4413,러시아어어휘와문장,3,3.0,0.0,,"수6,7,8(E403)",1,한만춘,nan
11,4,1전선,HBHG4420,신실크로드와한류(PBL),2,1.0,1.0,,"목3,4(E403)",1,"김혜진,이희원",nan
12,4,1전심,HBHG4431,비즈니스실무러시아어,3,2.0,1.0,,"화4,5,6(E401)",1,한만춘,nan
1,전체,1전선,HBHD4402,일본전통문화예술(PBL),3,3.0,0.0,,"월4,5,6(E206)",1,김유천,nan
2,전체,1전선,HBHE4418,독일문학과AI기반문화콘텐츠창 작(캡스톤디자인),3,1.0,2.0,,"월1,2,3(E303)",1,김진숙,nan
3,전체,1전선,HBHE4420,독일의공연예술,3,3.0,0.0,,"목6,7,8(E402)",1,김연정,nan
4,전체,1전선,HBHG4428,미디어로보는러시아인문지리,3,1.5,1.5,,"화4,5,6(E403)",1,이희원,nan
5,전체,1전선,HBHI0009,디지털문화콘텐츠제작,3,1.0,2.0,,"월5,6,7(E303)",1,조순정,nan
1,3,1전선,HBCD0002,취업과창업(디자인대학),1,1.0,0.0,,토11(Y102),1,방경란,nan
2,전체,일선,HBRB1008,디자인교육론,2,1.0,1.0,,"월8,9(I106)",1,김현정,커뮤니케이션디자인전공
1,1,1전선,HBIA4597,입체조형디자인,3,1.0,2.0,,"목1,2,3(D406)",2,이미경,수강신청 1일차 주전공외 수강신청 제한
2,1,1전선,HBIA4597,입체조형디자인,3,1.0,2.0,,"목5,6,7(D406)",3,이미경,수강신청 1일차 주전공외 수강신청 제한
3,1,1전선,HBIA4602,커뮤니케이션디자인기초,3,1.0,2.0,,"수5,6,7(D404)",1,김한솔,수강신청 1일차 주전공외 수강신청 제한
4,1,1전선,HBIA4602,커뮤니케이션디자인기초,3,1.0,2.0,,"수1,2,3(D405)",2,한윤경,수강신청 1일차 주전공외 수강신청 제한
5,1,1전선,HBIA4602,커뮤니케이션디자인기초,3,1.0,2.0,,"금1,2,3(D402)",3,안혜선,수강신청 1일차 주전공외 수강신청 제한
6,1,1전선,HBIA4602,커뮤니케이션디자인기초,3,1.0,2.0,,"금5,6,7(D402)",4,안혜선,수강신청 1일차 주전공외 수강신청 제한
7,1,1전선,HBIA4603,비주얼리터러시,3,1.0,2.0,,"목1,2,3(D401)",1,유동관,수강신청 1일차 주전공외 수강신청 제한
8,1,1전선,HBIA4603,비주얼리터러시,3,1.0,2.0,,"목5,6,7(D401)",2,유동관,수강신청 1일차 주전공외 수강신청 제한
9,1,1전선,HBIA4603,비주얼리터러시,3,1.0,2.0,,"수5,6,7(D402)",3,김석진,수강신청 1일차 주전공외 수강신청 제한
10,1,1전선,HBIA4603,비주얼리터러시,3,1.0,2.0,,"수5,6,7(D424A)",4,이석연,수강신청 1일차 주전공외 수강신청 제한
11,2,1전선,HBIA1112,커뮤니케이션디자인 Ⅱ,3,1.0,2.0,,"목1,2,3(D425)",1,방경란,수강신청 1일차 주전공외 수강신청 제한
12,2,1전선,HBIA1112,커뮤니케이션디자인 Ⅱ,3,1.0,2.0,,"화5,6,7(D405)",2,한만오,수강신청 1일차 주전공외 수강신청 제한
13,2,1전선,HBIA1112,커뮤니케이션디자인 Ⅱ,3,1.0,2.0,,"목1,2,3(D405)",3,남정,수강신청 1일차 주전공외 수강신청 제한
14,2,1전선,HBIA1112,커뮤니케이션디자인 Ⅱ,3,1.0,2.0,,"금1,2,3(D406)",4,남정,수강신청 1일차 주전공외 수강신청 제한
15,2,1전선,HBIA3141,정보인터랙션디자인기초,3,1.0,2.0,,"목5,6,7(L203)",1,손우성,nan
16,2,1전선,HBIA3141,정보인터랙션디자인기초,3,1.0,2.0,,"금1,2,3(D425)",2,손우성,nan
17,2,1전선,HBIA3141,정보인터랙션디자인기초,3,1.0,2.0,,"월1,2,3(D404)",3,이승연,nan
18,2,1전선,HBIA3152,일러스트레이션Ⅰ,3,1.0,2.0,,"화1,2,3(D401)",1,유동관,수강신청 1일차 주전공외 수강신청 제한
19,2,1전선,HBIA3152,일러스트레이션Ⅰ,3,1.0,2.0,,"수1,2,3(D401)",2,유동관,수강신청 1일차 주전공외 수강신청 제한
20,2,1전선,HBIA3152,일러스트레이션Ⅰ,3,1.0,2.0,,"수5,6,7(D401)",3,유동관,수강신청 1일차 주전공외 수강신청 제한
21,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"목1,2,3(D404)",1,박소연,수강신청 1일차 주전공외 수강신청 제한 커뮤니케이션디자인전공
22,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"목5,6,7(D404)",2,박소연,수강신청 1일차 주전공외 수강신청 제한
23,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"금5,6,7(D404)",3,김주신,수강신청 1일차 주전공외 수강신청 제한
24,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"금8,9,10(D404)",4,김주신,수강신청 1일차 주전공외 수강신청 제한
25,2,1전선,HBIA4346,타이포그래피,3,1.0,2.0,,"화1,2,3(D405)",1,서승연,수강신청 1일차 주전공외 수강신청 제한
26,2,1전선,HBIA4346,타이포그래피,3,1.0,2.0,,"수5,6,7(D405)",2,서승연,수강신청 1일차 주전공외 수강신청 제한
27,2,1전선,HBIA4346,타이포그래피,3,1.0,2.0,,"수5,6,7(D406)",3,한윤경,수강신청 1일차 주전공외 수강신청 제한
28,2,1전선,HBIA4346,타이포그래피,3,1.0,2.0,,"수8,9,10(D406)",4,한윤경,수강신청 1일차 주전공외 수강신청 제한
29,2,1전선,HBIA4346,타이포그래피,3,1.0,2.0,,"수8,9,10(D405)",5,서승연,수강신청 1일차 주전공외 수강신청 제한
30,3,1전선,HBIA3302,패키지디자인워크숍 (캡스톤디자인),3,1.0,2.0,,"수5,6,7(D425)",1,신윤진,수강신청 1일차 주전공외 수강신청 제한
31,3,1전선,HBIA3302,패키지디자인워크숍 (캡스톤디자인),3,1.0,2.0,,"목5,6,7(D425)",2,신윤진,수강신청 1일차 주전공외 수강신청 제한
32,3,1전선,HBIA4338,디자인리포트,3,1.0,2.0,,"목5,6,7(D402)",1,이원제,수강신청 1일차 주전공외 수강신청 제한
33,3,1전선,HBIA4340,브랜드디자인워크숍,3,1.0,2.0,,"화1,2,3(D402)",1,이원제,수강신청 1일차 주전공외 수강신청 제한
34,3,1전선,HBIA4340,브랜드디자인워크숍,3,1.0,2.0,,"목1,2,3(D402)",2,이원제,수강신청 1일차 주전공외 수강신청 제한
35,3,1전선,HBIA4596,인쇄매체디자인워크숍,3,1.0,2.0,,"월5,6,7(D406)",1,김한솔,수강신청 1일차 주전공외 수강신청 제한
36,3,1전선,HBIA4596,인쇄매체디자인워크숍,3,1.0,2.0,,"화1,2,3(D406)",2,김한솔,수강신청 1일차 주전공외 수강신청 제한
37,3,1전선,HBIA4596,인쇄매체디자인워크숍,3,1.0,2.0,,"화8,9,10(D405)",3,한만오,수강신청 1일차 주전공외 수강신청 제한
38,3,1전선,HBIA4604,정보인터랙션디자인워크숍,3,1.0,2.0,,"화1,2,3(D404)",1,손우성,수강신청 1일차 주전공외 수강신청 제한
39,3,1전선,HBIA4604,정보인터랙션디자인워크숍,3,1.0,2.0,,"월5,6,7(D404)",2,이승연,수강신청 1일차 주전공외 수강신청 제한
40,3,1전선,HBIA4604,정보인터랙션디자인워크숍,3,1.0,2.0,,"월8,9,10(D404)",3,이승연,수강신청 1일차 주전공외 수강신청 제한
41,4,1전심,HBIA4142,혁신디자인스튜디오III,3,1.0,2.0,,"목2,3,5,6,7(D322)",1,김한솔,"수강신청 1일차 주전공외 수강신청 제한, 집중이수제(1~9주차 5시간씩 수업) 커뮤니케이션디자인전공"
42,4,1전심,HBIA4142,혁신디자인스튜디오III,3,1.0,2.0,,"목5,6,7,8,9(D424A)",2,방경란,"수강신청 1일차 주전공외 수강신청 제한, 집중이수제(1~9주차 5시간씩 수업)"
43,4,1전심,HBIA4142,혁신디자인스튜디오III,3,1.0,2.0,,"목5,6,7(D405)",3,남정,수강신청 1일차 주전공외 수강신청 제한
44,4,1전심,HBIA4142,혁신디자인스튜디오III,3,1.0,2.0,,"목8,9,10(D404)",4,박소연,수강신청 1일차 주전공외 수강신청 제한
45,4,1전심,HBIA4142,혁신디자인스튜디오III,3,1.0,2.0,,"금8,9,10(D402)",5,안혜선,수강신청 1일차 주전공외 수강신청 제한
46,4,1전심,HBIA4342,융합디자인스튜디오III,3,1.0,2.0,,"월2,3,5,6,7(D425)",1,신윤진,집중이수제(1~9주차 5시간씩 수업
47,4,1전심,HBIA4342,융합디자인스튜디오III,3,1.0,2.0,,"월2,3,5,6,7(D405)",2,서승연,집중이수제(1~9주차 5시간씩 수업
48,4,1전심,HBIA4342,융합디자인스튜디오III,3,1.0,2.0,,"월2,3,5,6,7(D101)",3,손우성,집중이수제(1~9주차 5시간씩 수업
49,4,1전심,HBIA4342,융합디자인스튜디오III,3,1.0,2.0,,"월5,6,7(D402) 금5,6(D405)",4,이원제,집중이수제(1~9주차 5시간씩 수업
50,4,1전심,HBIA4342,융합디자인스튜디오III,3,1.0,2.0,,"수1,2,3(D402)",5,"김석진,이석연",수강신청 1일차 주전공외 수강신청 제한
51,4,1전심,HBIA4605,AI포트폴리오 워크숍,3,1.0,2.0,,"수1,2,3(D404)",1,조혜정,디자인대학 디자인학부 패션디자인전공
1,1,1전선,HBIC4423,전공체험(패션디자인전공),2,2.0,0.0,,"화8,9,10(D209)",1,한아영,주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차 3시간씩 수업)
2,1,1전선,HBIC4424,인체와패턴기초,3,1.0,2.0,,"월6,7,8(D210)",1,이정진,nan
3,1,1전선,HBIC4425,패션커뮤니케이션,3,0.0,3.0,,"목5,6,7(D101)",1,박선지,nan
4,2,1전선,HBIC1122,패션CAD,3,0.0,3.0,,"금1,2,3(D107)",1,한아영,수강신청 1일차 주전공 외 수강제한
5,2,1전선,HBIC3151,패턴메이킹Ⅱ,3,1.0,2.0,,"화1,2,3(D210)",1,이정진,수강신청 1일차 주전공 외 수강제한
6,2,1전선,HBIC3211,패션드레이핑,3,0.0,3.0,,"월1,2,3(D211)",1,정현정,수강신청 1일차 주전공 외 수강제한
7,2,1전선,HBIC4357,디자인컨셉&트랜드(PBL),3,1.0,2.0,,"수1,2,3(D219)",1,염혜수,수강신청 1일차 주전공 외 수강제한
8,2,1전선,HBIC4415,패션소재기획,2,0.5,1.5,,"목1,2(D209)",1,염혜수,수강신청 1일차 주전공 외 수강제한
9,3,1전선,HBIC3241,한국의상(캡스톤디자인),3,1.0,2.0,,"금1,2,3(D210)",1,이정진,수강신청 1일차 주전공 외 수강제한
10,3,1전선,HBIC4321,특수의상디자인(캡스톤디자인),2,0.0,2.0,,"수3,4(D211)",1,정현정,수강신청 1일차 주전공 외 수강제한
11,3,1전선,HBIC4321,특수의상디자인(캡스톤디자인),2,0.0,2.0,,"수1,2(D211)",2,정현정,수강신청 1일차 주전공 외 수강제한
12,3,1전심,HBIC4351,특수의복구성(캡스톤디자인),3,0.0,3.0,,"월3,4,5(D210)",1,이정진,수강신청 1일차 주전공 외 수강제한
13,3,1전심,HBIC4360,패션워크샵Ⅱ(캡스톤디자인),3,0.0,3.0,,"화1,2,3(D219)",1,염혜수,수강신청 1일차 주전공 외 수강제한
14,3,1전심,HBIC4360,패션워크샵Ⅱ(캡스톤디자인),3,0.0,3.0,,"수4,5,6(D219)",2,염혜수,수강신청 1일차 주전공 외 수강제한
15,3,1전심,HBIC4420,패션비지니스창업설계(캡스톤디 자인),3,1.0,2.0,,"목4,5,6(D219)",1,한아영,수강신청 1일차 주전공 외 수강제한
16,4,1전심,HBIC4202,컬렉션스튜디오Ⅱ(캡스톤디자인 ),3,0.0,3.0,,"목5(D107) 목3,4(D209)",1,"염혜수,이정진,정현정",수강신청 1일차 주전공 외 수강제한
17,4,1전심,HBIC4202,컬렉션스튜디오Ⅱ(캡스톤디자인 ),3,0.0,3.0,,"목8(D107) 목6,7(D209)",2,"염혜수,이정진,정현정",수강신청 1일차 주전공 외 수강제한
18,4,1전심,HBIC4416,스마트스튜디오Ⅱ(캡스톤디자인 ),3,1.0,2.0,,"화1,2(D107) 화3(D218)",1,한아영,수강신청 1일차 주전공 외 수강제한
19,4,1전심,HBIC4416,스마트스튜디오Ⅱ(캡스톤디자인 ),3,1.0,2.0,,"수5,6(D107) 수7(D218)",2,한아영,수강신청 1일차 주전공 외 수강제한 텍스타일디자인전공
1,1,1전선,HBID1011,섬유소재 (PBL),3,3.0,0.0,,"수1,2,3(D325)",1,송하영,nan
2,1,1전선,HBID4438,염색드로잉 워크샵 (Open SM-PBL),3,1.0,2.0,,"월3,4,5(D201)",1,미정,nan
3,1,1전선,HBID4446,전공체험(텍스타일디자인전공),2,1.0,1.0,,"금1,2,3(D204A)",1,송하영,"주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차, 3시간씩 수업)"
4,1,1전선,HBID4455,위빙테크닉 워크샵 (Open SM-PBL),3,1.0,2.0,,"화5,6,7(D123) 화5,6,7(D205)",1,미정,nan
5,2,1전선,HBID2191,직물사,3,3.0,0.0,,"화1,2,3(D325)",1,송하영,nan
6,2,1전선,HBID4457,서피스디자인스튜디오 (Open SM-PBL),3,0.0,3.0,,"목4,5,6(D123) 목4,5,6(D220)",1,양린,nan
7,2,1전선,HBID4459,스마트텍스타일 (PBL),3,3.0,0.0,,"수4,5,6(D325)",1,송하영,nan
8,3,1전선,HBID4464,텍스타일 스타일링 (캡스톤디자인),3,1.0,2.0,,"목7,8,9(D123) 목7,8,9(D220)",1,양린,nan
9,3,1전심,HBID4463,하이브리드 텍스타일디자인 앤 비젼 (캡스톤디자인),3,1.0,2.0,,"화9,10,11(D123) 화9,10,11(D205)",1,양린,"10 3 1전심 HBID4465 로우테크-하이테크 텍스타일디자인 스튜디오 (캡스톤디자인) 3 1 2 월10,11,12(D201) 월10,11,12(D220) 1 양린"
11,3,1전심,HBID4466,3D 디지털디자인스튜디오 (캡스톤디자인),3,1.0,2.0,,"목1,2,3(D123) 목1,2,3(D203)",1,미정,"12 4 1전선 HBID4468 자카드와 디지털텍스타일프로젝트Ⅱ (캡스톤디자인) 2 0 2 금7,8(D123) 금7,8(D205) 1 미정"
13,4,1전심,HBID4335,리빙앤컬쳐융합프로젝트 Ⅱ(캡스톤디자인),2,0.0,2.0,,"금5,6(D201) 금5,6(D204B)",1,미정,nan
14,4,1전심,HBID4469,AX·DX 프로젝트Ⅱ (캡스톤디자인),2,0.0,2.0,,"금9,10(D123) 금9,10(D203)",1,양린,스페이스디자인전공
1,1,1전선,HBIE2181,디지털드로잉,3,1.0,2.0,,"화1,2,3(D122)",1,송용준,nan
2,1,1전선,HBIE2181,디지털드로잉,3,1.0,2.0,,"화5,6,7(D122)",2,송용준,nan
3,1,1전선,HBIE2181,디지털드로잉,3,1.0,2.0,,"화8,9,10(D122)",3,송용준,nan
4,1,1전선,HBIE2181,디지털드로잉,3,1.0,2.0,,"수1,2,3(D122)",4,황두환,nan
5,1,1전선,HBIE2181,디지털드로잉,3,1.0,2.0,,"금5,6,7(D122)",5,육심웅,nan
6,1,1전선,HBIE4374,기초실내디자인,3,1.0,2.0,,"월6,7,8(D325)",1,하숙녕,nan
7,1,1전선,HBIE4374,기초실내디자인,3,1.0,2.0,,"화8,9,10(D325)",2,하숙녕,nan
8,1,1전선,HBIE4374,기초실내디자인,3,1.0,2.0,,"목5,6,7(D325)",3,하숙녕,nan
9,1,1전선,HBIE4382,전공체험(스페이스디자인전공),2,2.0,0.0,,"목8,9,10(D327)",1,정은석,"주·다·부전공 학생 수강 제한/ 집중이수제(1~10주차, 3시간씩 수업)"
10,2,1전선,HBIE2132,Shop스페이스디자인Ⅰ(PBL),3,1.0,2.0,,"월5,6,7(D327)",1,문정묵,nan
11,2,1전선,HBIE2132,Shop스페이스디자인Ⅰ(PBL),3,1.0,2.0,,"화6,7,8(D322)",2,신라영,nan
12,2,1전선,HBIE2132,Shop스페이스디자인Ⅰ(PBL),3,1.0,2.0,,"화6,7,8(D327)",3,명은정,nan
13,2,1전선,HBIE2161,재료와색채디자인,3,1.0,2.0,,"월5,6,7(D322)",1,원희정,nan
